Profundidad,Densidad Aparente,Gamma Ray,Porosidad Neutrón,Resistividad Profunda,Resistividad Media
3666.6404,2.3159,56.2126,28.4036,0.9244,0.9247
3666.7928,2.3238,60.3687,44.9193,0.9083,0.8792
3666.9452,2.3254,61.2566,56.4475,0.9041,0.8692
3667.0976,2.333,60.0254,56.0056,0.9259,0.8663
3667.25,2.3367,60.1135,59.9086,0.9402,0.8547
3667.4024,2.3308,61.9901,32.7867,0.8771,0.8583
3667.5548,2.318,60.2103,51.5973,0.8085,0.8382
3667.7072,2.2975,62.8751,62.8586,0.8587,0.8196
3667.8596,2.2917,62.7232,48.7555,0.8086,0.8107
3668.012,2.2969,50.4851,60.1299,0.729,0.7991
3668.1644,2.2969,55.1364,53.3697,0.7215,0.7998
3668.3168,2.2873,62.0991,51.5444,0.7017,0.792
3668.4692,2.2793,61.8845,55.7615,0.6938,0.7479
3668.6216,2.2798,65.1632,35.1928,0.6847,0.7041
3668.774,2.2874,48.0339,56.885,0.676,0.6847
3668.9264,2.2756,33.6787,92.7818,0.6624,0.6605
3669.0788,2.2216,34.6727,51.8235,0.6356,0.6264
3669.2312,2.1701,37.4539,30.8812,0.608,0.6212
3669.3836,2.1534,31.5217,28.6154,0.5974,0.5945
3669.536,2.1565,29.8786,29.6569,0.5762,0.5821
3669.6884,2.1601,35.3178,27.5399,0.5214,0.5665
3669.8408,2.1599,36.675,29.5593,0.4842,0.5531
3669.9932,2.1636,31.1974,28.0238,0.4562,0.5369
3670.1456,2.1637,30.5326,26.692,0.427,0.5293
3670.298,2.1661,34.9358,26.856,0.4085,0.5171
3670.4504,2.1728,34.9265,29.9176,0.3952,0.5085
3670.6028,2.1711,30.4569,25.7459,0.3937,0.491
3670.7552,2.1732,30.5148,34.3391,0.384,0.494
3670.9076,2.1789,31.7581,22.4344,0.3756,0.4856
3671.06,2.1774,33.2002,21.629,0.3887,0.4771
3671.2124,2.1724,31.4528,28.8213,0.4063,0.4899
3671.3648,2.1762,32.2484,24.0585,0.4205,0.4894
3671.5172,2.1831,32.2484,22.2622,0.4258,0.4922
3671.6696,2.1868,31.3387,21.5674,0.4324,0.499
3671.822,2.1918,35.9081,25.6073,0.4508,0.5344
3671.9744,2.1992,33.2816,25.5663,0.4644,0.5784
3672.1268,2.2022,31.6453,26.5619,0.4837,0.6269
3672.2792,2.2022,31.2786,27.6521,0.5124,0.6774
3672.4316,2.2035,36.8132,22.0248,0.5597,0.7676
3672.584,2.2065,34.2998,30.4705,0.5818,0.8363
3672.7364,2.21,37.1533,36.5653,0.6146,0.9321
3672.8888,2.2334,34.4772,37.0302,0.6853,1.0071
3673.0412,2.2816,50.7926,41.677,0.8116,1.0525
3673.1936,2.3379,55.8717,47.3958,0.9118,1.1469
3673.346,2.4314,63.3644,49.5588,1.0311,1.3475
3673.4984,2.5257,64.3018,36.6613,1.1902,1.518
3673.6508,2.5522,60.3412,29.2296,1.308,1.5677
3673.8032,2.5544,50.7565,26.28,1.4964,1.6384
3673.9556,2.5496,38.4759,19.2283,1.579,1.6925
3674.108,2.5218,34.4387,16.7254,1.6874,1.6482
3674.2604,2.4739,35.1873,17.5206,1.8809,1.601
3674.4128,2.4468,40.3318,21.7412,1.9482,1.3537
3674.5652,2.4432,39.254,28.5856,1.7977,1.242
3674.7176,2.457,51.2877,39.1909,1.5194,1.2279
3674.87,2.4503,70.7579,37.7386,1.2848,1.2069
3675.0224,2.3878,66.6967,51.4587,1.2208,1.1825
3675.1748,2.2951,67.1842,63.3054,1.1537,1.13
3675.3272,2.2469,72.5338,51.7292,1.0697,1.0637
3675.4796,2.2256,63.607,42.3958,0.9673,0.9521
3675.632,2.214,65.7388,44.0765,0.9641,0.9099
3675.7844,2.1982,55.511,32.1093,0.9719,0.8414
3675.9368,2.1816,52.6854,34.1246,0.9119,0.8443
