Ca,Fe,Mg,target
5.462599999999999,6.989999999999999,3.04515,basalt
4.926349999999999,6.284009999999999,5.4089100000000006,basalt
8.8231,7.409399999999999,4.81194,basalt
7.21435,7.730939999999999,3.72654,basalt
6.9784,6.56361,4.8843,basalt
7.12855,6.34692,3.82302,basalt
7.15715,5.94849,4.01598,basalt
7.21435,7.25562,3.83508,basalt
6.59945,6.92709,3.94965,basalt
6.54225,7.535219999999999,4.7637,basalt
6.170450000000001,8.37402,3.14163,basalt
5.433999999999999,7.66803,2.78586,basalt
6.7067000000000005,7.066889999999999,3.7386,basalt
6.3778,6.53565,3.97377,basalt
6.74245,7.570169999999999,4.39587,basalt
7.114249999999999,6.941069999999999,4.35366,basalt
7.743449999999999,7.29057,3.58785,basalt
7.643349999999999,7.2696,3.52152,basalt
8.236799999999999,7.96161,3.90141,basalt
8.6229,7.122809999999999,4.54059,basalt
7.028449999999999,8.15733,8.12241,basalt
8.908900000000001,8.695559999999999,3.74463,basalt
7.507499999999999,7.7169599999999985,3.69639,basalt
6.79965,6.374879999999999,3.75669,basalt
7.285849999999999,8.36004,8.3817,basalt
7.686249999999999,7.968599999999999,4.03407,basalt
7.6362,8.09442,4.49838,basalt
6.864,9.30369,2.54466,basalt
8.4084,7.542209999999999,4.23306,basalt
7.822099999999999,7.472309999999999,5.02902,basalt
6.59945,10.12152,2.98485,basalt
6.1633,8.11539,2.76777,basalt
6.506499999999999,7.479299999999999,5.14962,basalt
5.72,7.591139999999999,4.49838,basalt
3.41055,9.90483,2.90646,basalt
6.5351,7.96161,3.6783,basalt
4.6046000000000005,7.947629999999999,4.7637,basalt
2.4167,11.37972,2.44215,basalt
4.08265,8.39499,2.84013,basalt
3.1889,6.200129999999999,5.07726,basalt
4.22565,7.367459999999999,6.13854,basalt
3.03875,6.64749,12.15045,basalt
12.87,5.63394,0.89244,basalt
3.3319,7.360469999999999,4.00392,basalt
14.3715,6.97602,1.63413,basalt
12.99155,5.12367,1.1457,basalt
5.519799999999999,8.54877,0.1206,basalt
5.0622,8.213249999999999,0.1206,basalt
5.0336,8.975159999999999,0.1206,basalt
5.11225,7.877729999999999,0.10854,basalt
5.047899999999999,8.688569999999999,0.1145699999999999,basalt
4.9764,8.56974,0.1145699999999999,basalt
5.3339,7.1298,0.09648,basalt
5.105099999999999,7.996559999999999,0.1206,basalt
4.44015,6.878159999999999,0.0904499999999999,basalt
8.11525,8.11539,3.9195,basalt
5.42685,8.9472,2.15271,basalt
8.9375,7.79385,3.96171,basalt
8.2511,7.765889999999999,4.61898,basalt
6.864,6.76632,2.71953,basalt
4.2328,8.42295,16.13025,basalt
9.581,8.5278,6.33753,basalt
5.7057,7.479299999999999,2.16477,basalt
7.057049999999999,9.97473,3.8592,basalt
7.45745,9.387569999999998,3.70242,basalt
7.285849999999999,9.20583,3.90744,basalt
7.40025,10.14948,3.94362,basalt
7.764899999999999,8.84934,4.63104,basalt
7.864999999999999,8.227229999999999,4.5225,basalt
5.7057,5.33337,1.42308,basalt
2.93865,3.71868,0.97083,basalt
8.780199999999999,7.09485,5.82498,basalt
7.67195,8.639639999999998,3.93759,basalt
8.02945,7.91268,4.96269,basalt
8.47275,6.07431,4.07628,basalt
8.94465,6.165179999999999,4.1607,basalt
8.722999999999999,6.822239999999999,2.5929,basalt
0.858,1.50984,0.01206,basalt
7.643349999999999,6.885149999999999,4.12452,basalt
