Nombre,SiO2,Al2O3,FeOT,CaO,MgO,Na2O,K2O,MnO,TiO
Peridotita,43.93,3.15,8.4,2.64,40.42,0.3,0.0,0.15,0.13
Peridotita,44.73,3.23,8.04,3.08,39.57,0.22,0.0,0.15,0.15
Peridotita,42.7,1.12,8.44,0.94,44.3,0.08,0.01,0.18,0.02
Peridotita,43.39,2.53,8.17,2.3,41.2,0.14,0.01,0.16,0.07
Peridotita,42.59,1.54,7.71,1.51,44.27,0.04,0.01,0.14,0.03
Peridotita,42.51,0.64,8.19,2.64,45.11,0.4,0.01,0.13,0.02
Peridotita,40.65,0.41,8.97,0.47,48.55,0.06,0.01,0.12,0.02
Peridotita,43.5,1.58,8.24,1.38,43.99,0.1,0.16,0.17,0.06
Peridotita,44.67,2.97,7.63,3.12,39.93,0.17,0.04,0.12,0.1
Peridotita,43.15,1.51,8.38,3.31,40.72,0.06,0.05,0.14,0.07
Peridotita,43.9,1.1,8.06,3.29,41.02,0.09,0.01,0.16,0.02
Peridotita,41.8,2.45,11.53,2.02,37.71,1.41,0.11,0.2,0.25
Peridotita,42.22,11.81,11.81,9.8,11.18,4.11,1.33,0.18,2.91
Peridotita,44.43,1.2,7.27,1.85,42.42,0.04,0.02,0.13,0.05
Peridotita,42.56,10.77,11.45,8.71,15.47,3.23,1.53,0.17,2.49
Peridotita,44.92,3.09,7.16,3.12,40.21,0.2,0.01,0.13,0.08
Peridotita,44.03,3.05,7.9,3.46,39.64,0.19,0.02,0.13,0.07
Peridotita,44.25,1.79,7.83,1.33,43.81,0.11,0.0,0.16,0.08
Peridotita,43.22,2.26,8.39,1.99,42.01,0.5,0.01,0.17,0.11
Peridotita,42.34,0.38,8.17,0.53,47.55,0.07,0.04,0.12,0.02
Peridotita,43.72,1.07,8.41,1.08,45.0,0.09,0.04,0.12,0.02
Peridotita,44.78,2.69,8.61,2.26,40.6,0.18,0.02,0.13,0.1
Peridotita,44.15,1.72,9.01,1.5,43.04,0.17,0.04,0.13,0.1
Peridotita,44.78,4.02,8.38,2.7,38.69,0.27,0.03,0.13,0.14
Peridotita,44.72,1.81,8.39,1.52,42.65,0.11,0.01,0.13,0.03
Peridotita,44.26,3.2,8.28,2.84,39.95,0.24,0.09,0.13,0.12
Peridotita,44.08,4.5,8.7,3.87,36.98,0.23,0.2,0.13,0.23
Peridotita,42.44,1.4,7.47,0.76,46.18,0.1,0.03,0.15,0.01
Peridotita,45.77,1.1,7.15,0.66,43.28,0.11,0.05,0.16,0.05
Peridotita,44.44,3.7,8.46,2.94,38.12,0.35,0.01,0.18,0.2
Peridotita,43.4692753739474,0.615226403204361,7.6520044608385,0.413512828383259,47.7456031601548,0.0504283937052755,0.0100856787410551,0.120019577018556,0.0171456538597937
Peridotita,45.5,3.92,8.21,3.12,38.08,0.29,0.01,0.13,0.16
Peridotita,45.4,4.33,8.04,4.1,37.17,0.38,0.01,0.13,0.19
Peridotita,45.15,2.59,7.61,2.37,41.42,0.16,0.02,0.12,0.07
Peridotita,44.48,2.23,7.74,1.79,42.44,0.08,0.02,0.12,0.05
Peridotita,45.11,2.85,7.95,2.23,40.95,0.2,0.02,0.13,0.11
Peridotita,46.6,5.07,7.57,4.17,35.41,0.43,0.01,0.13,0.21
Peridotita,45.9210379753328,4.26773514951499,8.08145683667094,3.64724927725006,37.1888272785159,0.300657810660247,0.0,0.137717754256491,0.17302992081252
Peridotita,45.0989060672243,4.19806330811486,8.21952539533547,3.40083493950651,38.478883158274,0.29769920093603,0.0100914983368146,0.134216927879634,0.158436523887989
Peridotita,45.2902676760979,4.00450696378861,7.93437072472575,3.39929180553341,38.9758561916353,0.282433740519096,0.0,0.134156026746571,0.152312481494227
Peridotita,44.603428116068,3.03609947149174,7.87973723298787,2.34011653616639,41.1638602762718,0.261245768477196,0.0302601276228413,0.128101206936695,0.0897717119477625
Peridotita,45.6686229112948,4.65059314382746,7.9171052045028,3.89398905318308,37.3358898596647,0.359134741692533,0.0100880545419251,0.133162319953411,0.192681841750769
Peridotita,45.4554575109831,3.86447063855861,8.15473934747537,3.25907053852332,38.5942563772498,0.319853052851979,0.0100900016672549,0.13419702217449,0.149332024675372
Peridotita,46.10483909032,4.08677168561602,8.1553799415182,3.2391449656364,37.9817496905154,0.311805543421074,0.0,0.136225722853867,0.164479946853188
Peridotita,44.5636240401936,2.23876997893708,7.68745204929612,1.77488070402219,42.9299270285368,0.164378156111146,0.0100845494546716,0.12403995829246,0.0766425758555038
Peridotita,46.0908208406467,4.3891215117516,8.22733259926956,3.24895891214716,37.4538369002804,0.269401251410961,0.0100899345097738,0.137223109332924,0.180609827724951
Peridotita,45.5802794077008,4.4783456643105,7.7886903648211,3.92359563832609,37.7330881310486,0.341927743288572,0.0,0.131122733414497,0.179537281136772
Peridotita,44.6,4.0,8.09,4.01,37.13,0.41,0.03,0.12,0.18
Peridotita,44.08,3.62,13.06,2.98,35.35,0.43,0.08,0.183,0.167
Peridotita,45.53,4.76,8.16,3.43,37.05,0.33,0.02,0.15,0.151
Peridotita,45.19,4.43,8.11,3.49,37.7,0.34,0.02,0.14,0.171
Peridotita,44.35,3.42,8.29,3.05,39.46,0.3,0.01,0.13,0.147
Peridotita,44.2,3.52,8.19,3.06,39.6,0.28,0.01,0.13,0.123
Peridotita,45.26,4.28,8.2,2.84,38.62,0.24,0.02,0.14,0.153
Peridotita,44.41,3.35,8.29,2.76,40.17,0.26,0.03,0.13,0.133
Peridotita,44.64,3.84,8.23,2.88,39.24,0.25,0.01,0.13,0.144
Peridotita,45.73,2.99,7.99,3.29,38.64,0.31,0.02,0.12,0.126
Peridotita,45.22,2.56,8.16,3.25,39.75,0.33,0.04,0.14,0.152
Peridotita,45.45,4.09,8.38,3.53,37.18,0.35,0.02,0.14,0.182
Peridotita,44.7,3.76,8.23,3.04,38.58,0.27,0.02,0.14,0.141
Peridotita,44.05,3.13,8.78,2.56,40.61,0.3,0.03,0.14,0.169
Peridotita,45.09,3.23,7.94,3.33,39.04,0.3,0.01,0.14,0.121
Peridotita,44.22,2.18,8.23,1.4,42.84,0.11,0.02,0.13,0.16
Peridotita,45.07,2.87,7.98,2.07,40.65,0.23,0.03,0.12,0.116
Peridotita,44.79,2.58,7.79,2.18,40.79,0.17,0.03,0.14,0.091
Peridotita,44.88,2.93,8.25,2.78,38.79,0.27,0.03,0.13,0.14
Peridotita,43.87,2.51,8.26,2.55,40.24,0.3,0.04,0.13,0.13
Peridotita,44.63,2.72,5.83,2.44,40.16,0.23,0.01,0.12,0.07
Peridotita,44.66,2.76,5.91,3.03,39.08,0.33,0.01,0.13,0.09
Peridotita,44.28,2.8,6.13,2.93,39.34,0.22,0.0,0.13,0.1
Peridotita,43.96,3.18,8.24,3.22,38.16,0.32,0.04,0.13,0.15
Peridotita,44.29,1.11,5.89,0.63,44.76,0.12,0.02,0.11,0.02
Peridotita,44.29,3.09,8.31,2.78,38.73,0.3,0.03,0.13,0.13
Peridotita,44.49,2.39,6.3,2.19,40.61,0.22,0.01,0.11,0.06
Peridotita,43.92,3.44,5.62,3.6,38.67,0.3,0.01,0.13,0.1
Peridotita,44.95,3.0,6.1,3.03,38.86,0.28,0.0,0.13,0.11
Peridotita,43.0,3.77,17.05,3.37,30.42,0.0,0.0,0.24,0.22
Peridotita,42.98,1.9,8.34,1.54,42.72,0.59,0.05,0.13,0.05
Peridotita,42.3,2.41,8.02,2.55,41.38,0.34,0.21,0.13,0.07
Peridotita,43.38,1.62,8.04,2.3,41.82,0.18,0.02,0.13,0.05
Peridotita,42.58,1.12,8.15,0.94,44.28,0.16,0.12,0.12,0.08
Peridotita,41.66,0.96,8.26,0.91,45.33,0.13,0.08,0.12,0.07
Peridotita,41.39,2.7,7.92,2.8,43.39,0.36,0.16,0.16,0.12
Peridotita,45.95,1.69,6.83,0.88,42.67,0.11,0.23,0.11,0.03
Peridotita,44.65,0.8,7.32,0.6,44.91,0.05,0.07,0.11,0.03
Peridotita,43.04,0.33,7.68,0.23,47.28,0.0,0.04,0.11,0.02
Peridotita,44.29,0.91,7.09,0.59,45.29,0.02,0.06,0.11,0.01
Peridotita,42.29,1.09,7.3,0.88,42.69,0.01,0.12,0.11,0.06
Peridotita,43.22,1.06,8.07,1.01,44.14,0.04,0.05,0.12,0.15
Peridotita,39.05,1.07,6.96,2.28,40.95,0.18,0.07,0.09,0.05
Peridotita,45.04,2.24,6.19,2.19,39.84,0.08,0.05,0.12,0.03
Peridotita,44.57,0.53,0.566874,0.54,45.43,0.2,0.06,0.102,0.019
Peridotita,44.84,1.13,0.22495,0.76,44.03,0.18,0.05,0.111,0.015
Peridotita,44.99,1.18,0.368918,0.56,44.47,0.21,0.13,0.101,0.023
Peridotita,48.42,1.19,1.57465,0.41,42.36,0.13,0.19,0.098,0.013
Peridotita,42.77,0.82,0.710842,1.07,44.4,0.28,0.14,0.126,0.066
Peridotita,42.13,0.94,1.043768,0.59,44.52,0.52,0.14,0.124,0.039
Peridotita,43.43,5.24,1.57465,3.73,32.52,0.41,0.25,0.163,0.154
Peridotita,41.3,3.63,1.88958,5.95,29.53,0.44,0.46,0.151,0.213
Peridotita,42.93,1.03,6.14,0.49,43.67,0.02,0.12,0.097,0.016
Peridotita,40.54,0.22,6.58,0.24,43.99,0.0,0.12,0.07,0.04
Peridotita,42.15,0.41,6.23,0.11,43.69,0.0,0.04,0.073,0.009
Peridotita,40.21,2.01,6.9,1.31,40.14,0.04,0.19,0.112,0.08
Peridotita,39.59,1.6,6.96,1.36,41.78,0.11,0.65,0.103,0.203
Peridotita,39.15,1.81,7.01,2.5,37.7,0.08,0.24,0.133,0.143
Peridotita,39.91,0.91,7.0,1.03,42.07,0.05,0.21,0.096,0.071
Peridotita,40.27,1.52,7.55,1.61,40.71,0.08,0.31,0.116,0.117
Peridotita,42.22,1.31,6.59,1.01,40.34,0.07,0.33,0.111,0.047
Peridotita,46.9,5.0,8.64,4.2,33.3,0.05,0.0,0.15,0.17
Peridotita,47.2,5.7,11.07,9.7,23.6,0.18,0.0,0.13,0.43
Peridotita,43.09,1.18,8.01,0.93,43.78,0.0,0.0,0.13,0.01
Peridotita,42.87,1.16,7.99,0.93,44.2,0.0,0.0,0.13,0.01
Peridotita,38.64,2.29,7.8,8.1,35.16,0.15,0.01,0.23,0.05
Peridotita,41.62,0.82,8.16,0.1,49.77,0.0,0.0,0.12,0.01
Peridotita,43.1,2.53,8.93,2.44,42.6,0.12,0.0,0.13,0.069
Peridotita,44.36,2.86,7.51,2.82,40.24,0.09,0.01,0.12,0.02
Peridotita,37.6,3.39,13.77,3.42,29.87,0.0,0.1,0.23,0.29
Peridotita,56.74,16.8,6.53,7.76,6.52,2.9,1.79,0.14,0.66
Peridotita,55.46,17.86,7.05,8.3,6.26,2.66,1.42,0.16,0.68
Peridotita,54.22,17.63,7.26,8.1,7.43,2.67,1.58,0.16,0.82
Peridotita,53.44,17.12,7.31,8.92,7.81,2.88,1.4,0.15,0.76
Peridotita,51.5,17.96,7.9,9.54,8.2,2.62,1.13,0.16,0.79
Peridotita,43.487,1.67695,8.46,1.52612,44.112,0.12398,0.00814,0.12976,0.05284
Peridotita,43.937,3.40206,9.15,3.55513,38.831,0.29678,0.01627,0.15161,0.21276
Peridotita,45.484,2.76557,8.24,2.1662,40.549,0.1717,0.00873,0.138,0.09475
Peridotita,44.643,3.14654,8.11,2.92634,40.103,0.27014,0.00727,0.1337,0.12489
Peridotita,44.101,1.28916,7.81,1.28405,44.928,0.08422,0.01516,0.12195,0.03811
Peridotita,44.529,2.86122,7.89,2.70781,40.731,0.49506,0.0159,0.1295,0.09849
Peridotita,44.867,3.39518,8.19,3.00194,39.482,0.24985,0.01493,0.13555,0.11533
Peridotita,43.23721,2.20509,11.05,2.85389,38.9187615691188,1.11105,0.038,0.16609,0.16127
Peridotita,43.30272,2.02308,8.45,1.75155,43.2694835341312,1.03248,0.03142,0.14213,0.05598
Peridotita,45.10766,2.4074,9.16,1.93567,40.3940524776383,0.34867,0.01904,0.16034,0.09008
Peridotita,42.82711,1.18679,8.33,0.84752,46.1119435173116,0.10502,0.00988,0.12802,0.04397
Peridotita,44.09357,1.39344,8.2,1.14985,44.6362236423194,0.1683,0.00983,0.12987,0.05292
Peridotita,44.90289,2.73831,7.99,1.85095,41.1078025151181,0.41333,0.01148,0.13136,0.09978
Peridotita,44.9076,2.88009,7.96,2.65281,40.5163275500901,0.829,0.03218,0.13074,0.11135
Peridotita,45.11609,2.66698,7.65,2.49154,41.3954750415128,0.50714,0.02629,0.12692,0.09301
Peridotita,44.62674,3.44892,9.1,3.61158,38.7442248669015,0.40708,0.02236,0.14675,0.21606
Peridotita,44.62838,2.98174,9.29,2.77205,39.0104264918763,0.60211,0.01535,0.14631,0.11867
Peridotita,45.58995,3.28989,7.54,2.89363,39.7237848076708,0.61626,0.01919,0.13024,0.11842
Peridotita,45.8,4.0,8.01,3.36,37.56,0.3,0.0,0.13,0.14
Peridotita,44.32,3.0,8.88,2.62,39.85,0.24,0.0,0.14,0.1
Peridotita,44.96,4.25,9.31,3.49,36.45,0.35,0.01,0.15,0.3
Peridotita,44.19,3.91,8.5,3.39,38.41,0.32,0.0,0.14,0.18
Peridotita,44.63,3.89,8.95,3.51,36.67,0.34,0.01,0.16,0.39
Peridotita,46.75,4.41,8.77,3.92,34.3,0.39,0.03,0.13,0.19
Peridotita,42.4,3.72,8.88,3.07,40.57,0.34,0.0,0.14,0.14
Peridotita,44.41,2.94,8.78,2.71,39.82,0.25,0.05,0.13,0.12
Peridotita,44.23,3.84,8.4,3.09,38.45,0.31,0.0,0.13,0.15
Peridotita,43.96,2.36,8.31,2.23,41.23,0.19,0.0,0.12,0.09
Peridotita,42.89,0.91,8.94,0.92,45.35,0.03,0.01,0.12,0.04
Peridotita,44.45,1.48,8.31,1.87,42.82,0.09,0.0,0.13,0.06
Peridotita,42.5,0.542,6.52,0.424,47.1,0.05,0.124,0.087,0.04
Peridotita,48.322,20.872,4.31,13.5,8.013,1.312,0.061,0.085,0.19
Peridotita,37.154,2.887,11.93,0.066,32.824,0.017,0.04,0.118,0.154
Peridotita,39.608,5.821,12.36,3.175,26.92,0.174,0.065,0.133,0.378
Peridotita,37.539,3.792,12.62,1.487,30.853,0.086,0.028,0.13,0.112
Peridotita,48.462,20.771,5.52,12.087,7.252,2.209,0.103,0.089,0.239
Peridotita,43.868,17.101,12.63,11.999,6.63,1.759,0.088,0.135,2.764
Peridotita,47.879,15.683,7.87,13.577,10.018,1.323,0.041,0.135,0.51
Peridotita,48.994,15.417,6.19,14.472,10.407,1.298,0.078,0.125,0.244
Peridotita,37.866,2.923,11.04,1.046,35.494,0.278,0.157,0.134,0.177
Peridotita,36.211,1.841,12.47,0.674,34.21,0.05,0.024,0.137,0.047
Peridotita,45.44,19.665,6.36,13.549,11.514,0.902,0.032,0.104,0.064
Peridotita,42.011,4.547,8.95,4.333,27.562,0.104,0.068,0.142,0.281
Peridotita,39.183,3.053,9.25,1.53,34.804,0.076,0.058,0.117,0.174
Peridotita,38.25,2.14,12.62,0.12,34.71,0.09,0.05,0.14,0.2
Peridotita,43.21,3.78,7.64,3.26,36.55,0.25,0.03,0.13,0.17
Peridotita,44.49,2.29,8.4,2.17,40.6,0.04,0.0,0.12,0.03
Peridotita,44.65,2.25,7.84,2.49,40.55,0.03,0.0,0.11,0.03
Peridotita,45.24,3.08,8.28,2.71,38.39,0.06,0.01,0.12,0.05
Peridotita,44.19,1.61,8.37,1.505,42.37,0.02,0.01,0.12,0.025
Peridotita,44.82,2.03,8.07,1.67,41.05,0.03,0.04,0.11,0.03
Peridotita,44.07,2.31,8.38,2.61,40.66,0.03,0.02,0.12,0.06
Peridotita,44.65,2.28,8.12,2.41,40.45,0.04,0.01,0.11,0.04
Peridotita,44.43,3.06,8.2,2.81,39.39,0.05,0.01,0.12,0.04
Peridotita,44.39,2.44,8.57,2.27,40.56,0.03,0.02,0.12,0.03
Peridotita,44.97,2.87,8.18,2.6,39.12,0.04,0.03,0.12,0.05
Peridotita,44.26,3.45,8.84,2.88,38.115,0.08,0.135,0.13,0.11
Peridotita,44.95,2.74,8.09,2.55,39.42,0.05,0.03,0.11,0.04
Peridotita,44.84,3.0,8.25,2.62,38.98,0.07,0.04,0.13,0.07
Peridotita,44.99,3.13,8.28,2.83,38.62,0.06,0.02,0.12,0.07
Peridotita,44.49,3.32,9.46,3.09,37.33,0.08,0.02,0.13,0.13
Peridotita,44.48,2.14,8.07,2.26,41.14,0.04,0.02,0.11,0.04
Peridotita,42.85,2.46,9.92,2.02,40.47,0.05,0.03,0.13,0.09
Peridotita,44.9,2.96,7.98,3.93,37.18,0.08,0.03,0.12,0.09
Peridotita,45.07,2.75,8.24,2.64,39.01,0.04,0.03,0.12,0.05
Peridotita,44.72,3.1,8.34,2.65,38.98,0.06,0.03,0.12,0.06
Peridotita,44.52,1.88,8.22,1.66,42.02,0.03,0.04,0.11,0.02
Peridotita,44.48,2.11,8.09,2.33,41.04,0.03,0.02,0.11,0.04
Peridotita,44.37,2.52,8.71,2.28,39.64,0.04,0.06,0.13,0.04
Peridotita,43.67,3.03,8.6,2.84,39.41,0.05,0.01,0.13,0.07
Peridotita,44.27,2.9,9.67,3.13,38.23,0.07,0.02,0.13,0.09
Peridotita,44.39,1.2,8.33,1.32,42.91,0.01,0.01,0.11,0.01
Peridotita,44.09,1.11,8.69,0.88,42.85,0.02,0.03,0.12,0.03
Peridotita,44.46,1.0,7.49,0.74,44.23,0.0,0.01,0.1,0.02
Peridotita,42.24,1.25,8.0,1.09,43.82,0.02,0.43,0.12,0.06
Peridotita,42.34,1.63,9.52,3.64,39.69,0.06,0.21,0.14,0.06
Peridotita,42.51,1.42,9.34,3.51,40.275,0.05,0.165,0.14,0.045
Peridotita,34.7,0.9,12.74,2.63,30.51,0.02,0.25,0.19,2.22
Peridotita,32.27,2.49,14.06,10.95,24.09,0.1,2.42,0.24,4.78
Peridotita,44.35,3.91,7.99,2.51,39.25,0.24,0.01,0.12,0.1
Peridotita,45.91,3.7,7.94,2.88,37.99,0.25,0.02,0.13,0.14
Peridotita,44.45,2.31,8.06,2.26,41.06,0.08,0.01,0.12,0.03
Peridotita,44.45,2.2,8.19,1.47,41.77,0.12,0.01,0.12,0.05
Peridotita,43.88,3.48,7.96,2.81,39.52,0.21,0.05,0.12,0.12
Peridotita,43.51,2.34,8.26,1.48,42.7,0.11,0.03,0.12,0.05
Peridotita,44.07,2.68,8.6,2.04,40.57,0.2,0.02,0.13,0.12
Peridotita,44.54,1.65,7.42,1.34,43.28,0.12,0.02,0.11,0.04
Peridotita,42.9,1.33,8.6,0.66,44.73,0.04,0.02,0.13,0.01
Peridotita,45.23,3.15,7.81,2.61,39.33,0.24,0.03,0.12,0.12
Peridotita,43.69,3.11,8.05,3.04,40.56,0.24,0.116,0.14,0.136
Peridotita,43.08,1.95,8.36,1.02,43.23,0.43,0.59,0.14,0.08
Peridotita,44.19,1.09,7.83,1.09,44.71,0.08,0.02,0.11,0.0
Peridotita,41.91,13.06,7.85,10.84,8.89,5.55,1.93,0.2,2.16
Peridotita,43.15,0.79,7.5,0.6,46.73,0.13,0.13,0.11,0.01
Peridotita,44.35,2.32,8.02,2.78,40.86,0.27,0.29,0.12,0.09
Peridotita,43.82,1.81,8.03,2.19,42.94,0.13,0.04,0.12,0.03
Peridotita,43.37,0.79,7.6,0.8,46.32,0.11,0.04,0.11,0.01
Peridotita,44.15,1.74,7.55,1.91,43.48,0.15,0.06,0.11,0.01
Peridotita,41.03,1.56,8.35,1.03,46.67,0.12,0.14,0.12,0.05
Peridotita,44.05,2.35,8.15,1.59,42.15,0.21,0.42,0.12,0.06
Peridotita,44.36,1.37,7.44,1.09,44.2,0.16,0.32,0.11,0.02
Peridotita,40.99,0.68,6.05,0.73,42.38,0.02,0.22,0.06,0.04
Peridotita,41.88,0.94,5.44,0.21,39.66,0.01,0.23,0.06,0.05
Peridotita,40.27,0.52,6.16,0.51,43.64,0.02,0.25,0.07,0.06
Peridotita,41.08,0.97,6.13,0.86,38.84,0.03,0.27,0.05,0.03
Peridotita,41.67,0.79,5.3448714,0.35,43.42,0.13,0.24,0.09,0.09
Peridotita,39.34,1.09,5.5158353,1.56,42.85,0.21,0.18,0.1,0.1
Peridotita,41.57,1.22,5.5338315,1.43,42.84,0.19,0.09,0.08,0.09
Peridotita,40.74,1.05,6.2626776,1.24,44.92,0.13,0.16,0.1,0.04
Peridotita,45.2,1.84,5.7947764,1.75,32.58,0.25,0.67,0.09,0.49
Peridotita,42.98,1.85,5.6598049,1.53,43.18,0.22,0.29,0.12,0.13
Peridotita,43.05,0.79,6.0377251,1.08,44.66,0.19,0.22,0.1,0.05
Peridotita,41.56,2.04,6.0467232,2.34,40.22,0.3,0.21,0.12,0.15
Peridotita,40.6602470301243,1.59272797076763,7.48382245169508,1.11720858076129,38.4525538134667,0.210191994390241,0.154662275929758,0.105754521749315,0.0826761180746577
Peridotita,44.1569594074644,1.69053789890483,6.69872083935732,1.25406780718484,38.6766994889104,0.207123209470431,0.0779576292931436,0.116964414814556,0.025801984874824
Peridotita,47.0752673933388,0.6582161750462,7.48007005395333,0.756589375388717,33.5431341381208,0.0387232431567778,0.0787592799718794,0.102044103747168,0.0836043805460837
Peridotita,43.65,1.83,8.5,1.28,42.96,0.14,0.03,0.13,0.06
Peridotita,43.79,1.91,7.97,2.36,41.93,0.12,0.04,0.13,0.06
Peridotita,43.07,1.42,7.42,1.59,42.72,0.14,0.03,0.12,0.05
Peridotita,44.18,1.97,7.95,1.98,41.19,0.2,0.03,0.12,0.07
Peridotita,44.35,3.4,8.17,3.26,37.93,0.32,0.03,0.13,0.16
Peridotita,44.0,4.32,11.88,3.09,35.0,0.0,0.02,0.18,0.21
Peridotita,42.4,2.42,14.76,2.66,35.5,0.0,0.07,0.21,0.34
Peridotita,42.0,3.43,12.24,0.56,39.9,0.0,0.03,0.16,0.3
Peridotita,41.1,1.38,13.77,0.13,41.7,0.0,0.0,0.17,0.12
Peridotita,42.3,1.78,14.85,3.47,35.5,0.0,0.0,0.21,0.2
Peridotita,40.4,2.24,16.83,1.87,35.9,0.0,0.15,0.21,0.36
Peridotita,41.0,3.08,16.2,2.5,34.4,0.11,0.19,0.21,0.48
Peridotita,43.1,5.15,15.21,4.56,28.7,0.41,0.27,0.2,0.63
Peridotita,36.8,3.9,13.6,1.79,30.67,0.07,0.94,0.13,0.29
Peridotita,38.5,4.0,9.83,2.87,32.31,0.09,0.23,0.13,0.41
Peridotita,40.38,5.45,12.04,4.13,26.49,0.33,0.42,0.15,0.48
Peridotita,38.77,4.74,11.34,2.62,29.41,0.05,0.98,0.14,0.43
Peridotita,35.61,2.65,13.32,1.57,33.08,0.02,0.09,0.16,0.33
Peridotita,36.62,3.2,13.16,2.5,31.16,0.01,0.12,0.16,0.38
Peridotita,36.76,3.18,13.05,2.49,31.29,0.02,0.12,0.16,0.38
Peridotita,37.07,3.29,13.65,2.42,30.71,0.11,0.18,0.16,0.46
Peridotita,37.9,3.82,13.2,3.1,30.23,0.12,0.15,0.17,0.45
Peridotita,40.78,5.85,13.3,4.08,25.24,0.52,0.37,0.17,0.72
Peridotita,41.77,0.64,7.49,0.71,46.64,0.04,0.02,0.12,0.01
Peridotita,44.5,1.89,7.57,1.78,42.3,0.19,0.04,0.12,0.03
Peridotita,44.9,1.26,7.91,1.05,43.8,0.08,0.01,0.13,0.06
Peridotita,45.6,6.21,6.35,5.46,34.3,0.53,0.02,0.1,0.2
Peridotita,45.3,3.53,8.42,3.23,38.3,0.12,0.02,0.14,0.13
Peridotita,44.3,3.1,7.71,2.94,40.6,0.07,0.01,0.13,0.09
Peridotita,43.89,0.99,7.8,0.9,46.67,0.15,0.037,0.13,0.032
Peridotita,41.3,3.65,7.65,2.99,36.2,0.44,0.01,0.13,0.15
Peridotita,44.7,3.37,7.43,2.95,38.5,0.33,0.01,0.13,0.11
Peridotita,43.8,2.95,8.08,2.74,39.4,0.42,0.01,0.13,0.1
Peridotita,47.68,1.41,6.18,0.75,41.12,0.14,0.1,0.12,0.03
Peridotita,44.1,3.6,14.12,2.9,33.45,0.26,0.03,0.17,0.11
Peridotita,45.1,1.29,8.49,1.31,43.26,0.03,0.01,0.13,0.02
Peridotita,47.05,1.52,8.03,1.45,41.23,0.07,0.07,0.12,0.03
Peridotita,53.5,0.93,6.91,3.79,34.1,0.0,0.03,0.28,0.01
Peridotita,44.89,2.22,8.99,3.17,39.92,0.13,0.04,0.15,0.06
Peridotita,48.09,2.09,7.35,4.2,37.38,0.11,0.13,0.23,0.05
Peridotita,51.73,4.06,6.45,11.31,24.82,0.14,0.06,0.82,0.07
Peridotita,46.36,2.39,7.37,10.29,32.49,0.12,0.06,0.45,0.06
Peridotita,44.81,2.83,8.0,2.6,40.89,0.2,0.004,0.13,0.077
Peridotita,44.94,2.92,7.64,2.74,40.78,0.22,0.006,0.13,0.074
Peridotita,42.71,2.36,7.69,2.28,43.19,0.2,0.01,0.12,0.07
Peridotita,45.32,1.81,7.93,2.71,41.09,0.19,0.01,0.115,0.032
Peridotita,45.45,1.98,8.24,2.59,40.84,0.17,0.01,0.121,0.043
Peridotita,45.09,2.06,7.71,2.47,41.59,0.17,0.005,0.12,0.022
Peridotita,45.95,1.56,7.73,2.66,41.06,0.18,0.01,0.115,0.048
Peridotita,44.08,0.71,9.09,1.32,44.19,0.09,0.007,0.126,0.073
Peridotita,44.05,2.36,8.37,2.29,42.49,0.16,0.009,0.132,0.023
Peridotita,43.94,1.67,8.13,1.97,43.54,0.07,0.01,0.118,0.031
Peridotita,43.82,0.78,9.06,1.9,43.84,0.07,0.01,0.118,0.03
Peridotita,45.41,2.39,7.89,3.55,39.64,0.22,0.005,0.12,0.061
Peridotita,45.86,1.37,7.91,3.24,40.65,0.23,0.006,0.118,0.025
Peridotita,41.44,5.46,18.37,8.16,18.66,0.18,0.05,0.32,1.64
Peridotita,40.95,4.04,18.23,7.74,20.94,0.05,0.03,0.26,1.26
Peridotita,38.91,2.86,19.04,3.12,25.31,0.03,0.01,0.24,1.09
Peridotita,42.34,6.15,17.56,7.56,18.47,0.24,0.03,0.3,2.11
Peridotita,42.64,5.26,18.22,9.82,14.26,0.26,1.22,0.24,1.54
Peridotita,41.14,6.29,17.32,7.33,19.9,0.21,0.05,0.26,1.59
Peridotita,45.97,6.84,9.59,6.89,29.36,0.05,0.0,0.02,0.2
Peridotita,47.56,7.03,8.0,10.53,25.55,0.22,0.01,0.03,0.18
Peridotita,46.0,6.4,8.2,7.48,30.73,0.04,0.0,0.08,0.16
Peridotita,42.9,2.42,8.24,2.2,41.9,0.196,0.01,0.13,0.064
Peridotita,45.35,6.77,10.02,7.05,27.82,0.69,0.28,0.25,0.58
Peridotita,45.68,8.35,10.52,8.49,23.26,1.09,0.42,0.19,0.74
Peridotita,45.08,1.55,8.95,4.42,33.81,0.33,0.1,0.22,0.48
Peridotita,43.25,8.79,12.13,8.5,24.47,33.0,0.05,0.21,0.81
Peridotita,45.36,2.77,5.45,1.84,42.6,0.37,0.64,0.11,0.21
Peridotita,44.11,3.03,6.86,0.77,43.01,0.71,0.34,0.11,0.21
Peridotita,44.99,2.98,7.99,2.32,40.35,0.21,0.06,0.13,0.02
Peridotita,43.63,1.12,8.31,0.7,45.36,0.02,0.02,0.13,0.04
Peridotita,45.29,5.11,9.05,3.41,33.92,0.62,0.19,0.15,0.59
Peridotita,44.9,3.6,8.28,2.9,39.39,0.3,0.04,0.14,0.2
Peridotita,44.39,3.07,8.07,2.81,40.74,0.19,0.0,13.0,0.13
Peridotita,44.21,3.36,8.12,3.01,40.18,0.21,0.0,0.13,0.13
